,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
1015,Total Cohort,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2005,107,49,45.8,30,28.0,61.2,2,1.9,4.1,28,26.2,57.1,19,17.8,38.8,39,36.4,16,15.0,X,12,24590,50.5
1016,Total Cohort,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2006,99,50,50.5,33,33.3,66.0,0,0.0,0.0,33,33.3,66.0,17,17.2,34.0,25,25.3,22,22.2,X,12,24590,
1017,Total Cohort,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2001,81,49,60.5,5,6.2,10.2,0,0.0,0.0,5,6.2,10.2,44,54.3,89.8,8,9.9,11,13.6,X,12,24590,60.5
1018,Total Cohort,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2002,81,49,60.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,49,60.5,100.0,13,16.0,10,12.3,X,12,24590,56.4
1019,Total Cohort,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2003,133,75,56.4,21,15.8,28.0,0,0.0,0.0,21,15.8,28.0,54,40.6,72.0,37,27.8,15,11.3,X,12,24590,67.7
1020,Total Cohort,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2004,93,63,67.7,54,58.1,85.7,0,0.0,0.0,54,58.1,85.7,9,9.7,14.3,17,18.3,9,9.7,X,12,24590,65.7
1021,Total Cohort,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2005,105,69,65.7,58,55.2,84.1,0,0.0,0.0,58,55.2,84.1,11,10.5,15.9,23,21.9,8,7.6,X,12,24590,63.0
1022,Total Cohort,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2006,119,75,63.0,66,55.5,88.0,0,0.0,0.0,66,55.5,88.0,9,7.6,12.0,29,24.4,9,7.6,X,12,24590,
1023,Total Cohort,12X684,WINGS ACADEMY,2002,89,51,57.3,45,50.6,88.2,0,0.0,0.0,45,50.6,88.2,6,6.7,11.8,25,28.1,7,7.9,X,12,24590,48.7
1024,Total Cohort,12X684,WINGS ACADEMY,2003,119,58,48.7,43,36.1,74.09999999999998,7,5.9,12.1,36,30.3,62.1,15,12.6,25.9,43,36.1,14,11.8,X,12,24590,53.5
1025,Total Cohort,12X684,WINGS ACADEMY,2004,129,69,53.5,47,36.4,68.1,5,3.9,7.2,42,32.6,60.9,22,17.1,31.9,42,32.6,12,9.3,X,12,24590,64.8
1026,Total Cohort,12X684,WINGS ACADEMY,2005,122,79,64.8,59,48.4,74.7,5,4.1,6.3,54,44.3,68.4,20,16.4,25.3,29,23.8,11,9.0,X,12,24590,70.7
1027,Total Cohort,12X684,WINGS ACADEMY,2006,116,82,70.7,61,52.6,74.4,8,6.9,9.8,53,45.7,64.6,21,18.1,25.6,12,10.3,12,10.3,X,12,24590,
1028,Total Cohort,12X690,MONROE ACADEMY FOR BUSINESS/LAW,2001,106,37,34.9,11,10.4,29.7,0,0.0,0.0,11,10.4,29.7,26,24.5,70.3,42,39.6,27,25.5,X,12,24590,43.6
1029,Total Cohort,12X690,MONROE ACADEMY FOR BUSINESS/LAW,2002,101,44,43.6,19,18.8,43.2,0,0.0,0.0,19,18.8,43.2,25,24.8,56.8,33,32.7,22,21.8,X,12,24590,43.9
1030,Total Cohort,12X690,MONROE ACADEMY FOR BUSINESS/LAW,2003,139,61,43.9,37,26.6,60.7,0,0.0,0.0,37,26.6,60.7,24,17.3,39.3,50,36.0,22,15.8,X,12,24590,44.1
1031,Total Cohort,12X690,MONROE ACADEMY FOR BUSINESS/LAW,2004,111,49,44.1,31,27.9,63.3,2,1.8,4.1,29,26.1,59.2,18,16.2,36.7,38,34.2,23,20.7,X,12,24590,48.6
1032,Total Cohort,12X690,MONROE ACADEMY FOR BUSINESS/LAW,2005,140,68,48.6,40,28.6,58.8,7,5.0,10.3,33,23.6,48.5,28,20.0,41.2,36,25.7,27,19.3,X,12,24590,53.3
1033,Total Cohort,12X690,MONROE ACADEMY FOR BUSINESS/LAW,2006,137,73,53.3,44,32.1,60.3,4,2.9,5.5,40,29.2,54.8,29,21.2,39.7,18,13.1,34,24.8,X,12,24590,
1034,Total Cohort,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2001,80,20,25.0,3,3.8,15.0,0,0.0,0.0,3,3.8,15.0,17,21.3,85.0,39,48.8,17,21.3,X,12,24590,36.2
1035,Total Cohort,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2002,105,38,36.2,16,15.2,42.1,0,0.0,0.0,16,15.2,42.1,22,21.0,57.9,41,39.0,26,24.8,X,12,24590,33.3
1036,Total Cohort,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2003,117,39,33.3,26,22.2,66.7,0,0.0,0.0,26,22.2,66.7,13,11.1,33.3,41,35.0,34,29.1,X,12,24590,37.2
1037,Total Cohort,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2004,86,32,37.2,25,29.1,78.09999999999998,3,3.5,9.4,22,25.6,68.8,7,8.1,21.9,37,43.0,16,18.6,X,12,24590,28.0
1038,Total Cohort,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2005,118,33,28.0,24,20.3,72.7,3,2.5,9.1,21,17.8,63.6,9,7.6,27.3,67,56.8,10,8.5,X,12,24590,49.1
1039,Total Cohort,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2006,112,55,49.1,45,40.2,81.8,4,3.6,7.3,41,36.6,74.5,10,8.9,18.2,38,33.9,13,11.6,X,12,24590,
1040,Total Cohort,18K589,ARTS & MEDIA PREPARATORY ACADEMY,2006,4,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1041,Total Cohort,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2006,2,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1042,Total Cohort,18K635,OLYMPUS ACADEMY,2005,59,2,3.4,2,3.4,100.0,0,0.0,0.0,2,3.4,100.0,0,0.0,0.0,52,88.1,5,8.5,K,18,68888,19.8
1043,Total Cohort,18K415,SAMUEL J. TILDEN HIGH SCHOOL,2001,448,185,41.3,95,21.2,51.4,23,5.1,12.4,72,16.1,38.9,90,20.1,48.6,174,38.8,83,18.5,K,18,68888,39.0
1044,Total Cohort,18K415,SAMUEL J. TILDEN HIGH SCHOOL,2002,498,194,39.0,88,17.7,45.4,20,4.0,10.3,68,13.7,35.1,106,21.3,54.6,237,47.6,49,9.8,K,18,68888,39.4
1045,Total Cohort,18K415,SAMUEL J. TILDEN HIGH SCHOOL,2003,546,215,39.4,122,22.3,56.7,22,4.0,10.2,100,18.3,46.5,93,17.0,43.3,216,39.6,108,19.8,K,18,68888,41.8
1046,Total Cohort,18K415,SAMUEL J. TILDEN HIGH SCHOOL,2004,479,200,41.8,108,22.5,54.0,13,2.7,6.5,95,19.8,47.5,92,19.2,46.0,207,43.2,64,13.4,K,18,68888,36.9
1047,Total Cohort,18K415,SAMUEL J. TILDEN HIGH SCHOOL,2005,336,124,36.9,64,19.0,51.6,12,3.6,9.7,52,15.5,41.9,60,17.9,48.4,135,40.2,55,16.4,K,18,68888,59.0
1048,Total Cohort,18K415,SAMUEL J. TILDEN HIGH SCHOOL,2006,178,105,59.0,38,21.3,36.2,7,3.9,6.7,31,17.4,29.5,67,37.6,63.8,42,23.6,28,15.7,K,18,68888,
1049,Total Cohort,18K500,CANARSIE HIGH SCHOOL,2001,574,231,40.2,107,18.6,46.3,0,0.0,0.0,107,18.6,46.3,124,21.6,53.7,225,39.2,80,13.9,K,18,68888,29.0
1050,Total Cohort,18K500,CANARSIE HIGH SCHOOL,2002,594,172,29.0,70,11.8,40.7,20,3.4,11.6,50,8.4,29.1,103,17.3,59.9,234,39.4,113,19.0,K,18,68888,31.6
1051,Total Cohort,18K500,CANARSIE HIGH SCHOOL,2003,637,201,31.6,89,14.0,44.3,5,0.8,2.5,84,13.2,41.8,112,17.6,55.7,317,49.8,98,15.4,K,18,68888,32.8
1052,Total Cohort,18K500,CANARSIE HIGH SCHOOL,2004,594,195,32.8,77,13.0,39.5,8,1.3,4.1,69,11.6,35.4,118,19.9,60.5,293,49.3,84,14.1,K,18,68888,36.2
1053,Total Cohort,18K500,CANARSIE HIGH SCHOOL,2005,577,209,36.2,89,15.4,42.6,11,1.9,5.3,78,13.5,37.3,120,20.8,57.4,237,41.1,93,16.1,K,18,68888,45.7
1054,Total Cohort,18K500,CANARSIE HIGH SCHOOL,2006,431,197,45.7,74,17.2,37.6,8,1.9,4.1,66,15.3,33.5,123,28.5,62.4,109,25.3,97,22.5,K,18,68888,
1055,Total Cohort,18K515,SOUTH SHORE HIGH SCHOOL,2001,460,163,35.4,17,3.7,10.4,4,0.9,2.5,13,2.8,8.0,146,31.7,89.6,169,36.7,119,25.9,K,18,68888,32.7
1056,Total Cohort,18K515,SOUTH SHORE HIGH SCHOOL,2002,511,167,32.7,62,12.1,37.1,13,2.5,7.8,49,9.6,29.3,105,20.5,62.9,221,43.2,97,19.0,K,18,68888,31.5
1057,Total Cohort,18K515,SOUTH SHORE HIGH SCHOOL,2003,524,165,31.5,62,11.8,37.6,0,0.0,0.0,62,11.8,37.6,103,19.7,62.4,232,44.3,119,22.7,K,18,68888,28.4
1058,Total Cohort,18K515,SOUTH SHORE HIGH SCHOOL,2004,395,112,28.4,34,8.6,30.4,4,1.0,3.6,30,7.6,26.8,78,19.7,69.6,164,41.5,106,26.8,K,18,68888,36.2
1059,Total Cohort,18K515,SOUTH SHORE HIGH SCHOOL,2005,257,93,36.2,32,12.5,34.4,2,0.8,2.2,30,11.7,32.3,61,23.7,65.6,78,30.4,76,29.6,K,18,68888,42.4
1060,Total Cohort,18K515,SOUTH SHORE HIGH SCHOOL,2006,125,53,42.4,19,15.2,35.8,5,4.0,9.4,14,11.2,26.4,34,27.2,64.2,16,12.8,49,39.2,K,18,68888,
1061,Total Cohort,18K563,IT TAKES A VILLAGE ACADEMY,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1062,Total Cohort,18K563,IT TAKES A VILLAGE ACADEMY,2006,4,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1063,Total Cohort,18K566,BROOKLYN GENERATION SCHOOL,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1064,Total Cohort,18K566,BROOKLYN GENERATION SCHOOL,2006,4,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1065,Total Cohort,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,2006,3,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1066,Total Cohort,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,2006,5,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1067,Total Cohort,18K576,VICTORY COLLEGIATE HIGH SCHOOL,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1068,Total Cohort,18K576,VICTORY COLLEGIATE HIGH SCHOOL,2006,3,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1069,Total Cohort,18K578,BROOKLYN BRIDGE ACADEMY,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,
1070,Total Cohort,18K578,BROOKLYN BRIDGE ACADEMY,2003,15,s,,s,,,s,,,s,,,s,,,s,,s,,K,18,68888,6.1
1071,Total Cohort,18K578,BROOKLYN BRIDGE ACADEMY,2004,49,3,6.1,1,2.0,33.3,0,0.0,0.0,1,2.0,33.3,2,4.1,66.7,43,87.8,3,6.1,K,18,68888,13.1
1072,Total Cohort,18K578,BROOKLYN BRIDGE ACADEMY,2005,84,11,13.1,4,4.8,36.4,0,0.0,0.0,4,4.8,36.4,7,8.3,63.6,59,70.2,8,9.5,K,18,68888,21.8
1073,Total Cohort,18K578,BROOKLYN BRIDGE ACADEMY,2006,87,19,21.8,6,6.9,31.6,0,0.0,0.0,6,6.9,31.6,13,14.9,68.4,51,58.6,14,16.1,K,18,68888,
1074,Total Cohort,18K635,OLYMPUS ACADEMY,2006,101,20,19.8,9,8.9,45.0,0,0.0,0.0,9,8.9,45.0,11,10.9,55.0,70,69.3,9,8.9,K,18,68888,
1075,Total Cohort,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,2006,69,5,7.2,2,2.9,40.0,0,0.0,0.0,2,2.9,40.0,3,4.3,60.0,58,84.1,6,8.7,K,18,68888,
1076,Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2004,71,57,80.3,51,71.8,89.5,5,7.0,8.800000000000002,46,64.8,80.7,6,8.5,10.5,4,5.6,10,14.1,X,11,52782,95.1
1077,Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2005,61,58,95.1,54,88.5,93.1,6,9.8,10.3,48,78.7,82.8,4,6.6,6.9,0,0.0,3,4.9,X,11,52782,96.6
1078,Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006,58,56,96.6,56,96.6,100.0,11,19.0,19.6,45,77.59999999999998,80.4,0,0.0,0.0,2,3.4,0,0.0,X,11,52782,
1079,Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2002,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1080,Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2003,6,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,67.7
1081,Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2004,93,63,67.7,24,25.8,38.1,0,0.0,0.0,24,25.8,38.1,39,41.9,61.9,16,17.2,13,14.0,X,11,52782,62.5
1082,Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2005,96,60,62.5,30,31.3,50.0,1,1.0,1.7,29,30.2,48.3,30,31.3,50.0,14,14.6,18,18.8,X,11,52782,70.3
1083,Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006,118,83,70.3,70,59.3,84.3,3,2.5,3.6,67,56.8,80.7,13,11.0,15.7,18,15.3,14,11.9,X,11,52782,
1084,Total Cohort,11X265,BRONX LAB SCHOOL,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,85.7
1085,Total Cohort,11X265,BRONX LAB SCHOOL,2004,98,84,85.7,49,50.0,58.3,0,0.0,0.0,49,50.0,58.3,35,35.70000000000001,41.7,12,12.2,2,2.0,X,11,52782,74.0
1086,Total Cohort,11X265,BRONX LAB SCHOOL,2005,96,71,74.0,37,38.5,52.1,0,0.0,0.0,37,38.5,52.1,34,35.4,47.9,25,26.0,0,0.0,X,11,52782,72.3
1087,Total Cohort,11X265,BRONX LAB SCHOOL,2006,94,68,72.3,33,35.1,48.5,1,1.1,1.5,32,34.0,47.1,35,37.2,51.5,19,20.2,7,7.4,X,11,52782,
1088,Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2004,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,59.2
1089,Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2005,71,42,59.2,22,31.0,52.4,3,4.2,7.1,19,26.8,45.2,20,28.2,47.6,21,29.6,7,9.9,X,11,52782,76.9
1090,Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006,65,50,76.9,34,52.3,68.0,2,3.1,4.0,32,49.2,64.0,16,24.6,32.0,12,18.5,2,3.1,X,11,52782,
1091,Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1092,Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1093,Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,87.1
1094,Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2004,85,74,87.1,45,52.9,60.8,45,52.9,60.8,0,0.0,0.0,29,34.1,39.2,9,10.6,2,2.4,X,11,52782,78.9
1095,Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2005,95,75,78.9,53,55.8,70.7,1,1.1,1.3,52,54.7,69.3,22,23.2,29.3,18,18.9,1,1.1,X,11,52782,86.7
1096,Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006,90,78,86.7,60,66.7,76.9,11,12.2,14.1,49,54.4,62.8,18,20.0,23.1,9,10.0,3,3.3,X,11,52782,
1097,Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,93.6
1098,Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2003,94,88,93.6,79,84.0,89.8,29,30.9,33.0,50,53.2,56.8,9,9.6,10.2,5,5.3,1,1.1,X,11,52782,82.4
1099,Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2004,91,75,82.4,63,69.2,84.0,19,20.9,25.3,44,48.4,58.7,12,13.2,16.0,15,16.5,1,1.1,X,11,52782,71.7
1100,Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2005,113,81,71.7,63,55.8,77.8,22,19.5,27.2,41,36.3,50.6,18,15.9,22.2,14,12.4,13,11.5,X,11,52782,76.9
1101,Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006,121,93,76.9,82,67.8,88.2,36,29.8,38.7,46,38.0,49.5,11,9.1,11.8,5,4.1,19,15.7,X,11,52782,
1102,Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1103,Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,74.4
1104,Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2003,82,61,74.4,45,54.9,73.8,3,3.7,4.9,42,51.2,68.9,16,19.5,26.2,19,23.2,2,2.4,X,11,52782,58.8
1105,Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2004,80,47,58.8,42,52.5,89.4,5,6.3,10.6,37,46.3,78.7,5,6.3,10.6,20,25.0,12,15.0,X,11,52782,62.9
1106,Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2005,105,66,62.9,51,48.6,77.3,6,5.7,9.1,45,42.9,68.2,15,14.3,22.7,20,19.0,15,14.3,X,11,52782,66.7
1107,Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2006,99,66,66.7,55,55.6,83.3,6,6.1,9.1,49,49.5,74.2,11,11.1,16.7,16,16.2,17,17.2,X,11,52782,
1108,Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,90.7
1109,Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2003,75,68,90.7,57,76.0,83.8,11,14.7,16.2,46,61.3,67.6,11,14.7,16.2,4,5.3,3,4.0,X,11,52782,83.2
1110,Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2004,95,79,83.2,31,32.6,39.2,5,5.3,6.3,26,27.4,32.9,48,50.5,60.8,16,16.8,0,0.0,X,11,52782,73.7
1111,Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2005,95,70,73.7,34,35.8,48.6,4,4.2,5.7,30,31.6,42.9,36,37.9,51.4,20,21.1,4,4.2,X,11,52782,70.3
1112,Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2006,111,78,70.3,46,41.4,59.0,1,0.9,1.3,45,40.5,57.7,32,28.8,41.0,22,19.8,10,9.0,X,11,52782,
1113,Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2001,819,341,41.6,130,15.9,38.1,29,3.5,8.5,101,12.3,29.6,210,25.6,61.6,308,37.6,114,13.9,X,11,52782,46.0
1114,Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2002,669,308,46.0,159,23.8,51.6,1,0.1,0.3,158,23.6,51.3,150,22.4,48.7,265,39.6,69,10.3,X,11,52782,38.5
1115,Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2003,582,224,38.5,99,17.0,44.2,9,1.5,4.0,90,15.5,40.2,125,21.5,55.8,201,34.5,125,21.5,X,11,52782,34.6
1116,Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2004,422,146,34.6,67,15.9,45.9,0,0.0,0.0,67,15.9,45.9,79,18.7,54.1,163,38.6,90,21.3,X,11,52782,35.9
1117,Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,435,156,35.9,80,18.4,51.3,10,2.3,6.4,70,16.1,44.9,76,17.5,48.7,163,37.5,77,17.7,X,11,52782,46.6
1118,Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006,382,178,46.6,98,25.7,55.1,10,2.6,5.6,88,23.0,49.4,80,20.9,44.9,125,32.7,52,13.6,X,11,52782,
1119,Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2001,4,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,80.7
1120,Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2002,57,46,80.7,17,29.8,37.0,0,0.0,0.0,17,29.8,37.0,29,50.9,63.0,8,14.0,2,3.5,X,11,52782,65.3
1121,Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2003,72,47,65.3,22,30.6,46.8,0,0.0,0.0,22,30.6,46.8,25,34.7,53.2,15,20.8,7,9.7,X,11,52782,61.5
1122,Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2004,96,59,61.5,25,26.0,42.4,1,1.0,1.7,24,25.0,40.7,34,35.4,57.6,20,20.8,6,6.3,X,11,52782,49.0
1123,Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2005,96,47,49.0,26,27.1,55.3,1,1.0,2.1,25,26.0,53.2,21,21.9,44.7,31,32.3,13,13.5,X,11,52782,67.4
1124,Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006,95,64,67.4,49,51.6,76.59999999999998,7,7.4,10.9,42,44.2,65.6,15,15.8,23.4,8,8.4,15,15.8,X,11,52782,
1125,Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2001,576,196,34.0,50,8.7,25.5,5,0.9,2.6,45,7.8,23.0,146,25.3,74.5,165,28.6,204,35.4,X,11,52782,26.9
1126,Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2002,498,134,26.9,51,10.2,38.1,0,0.0,0.0,51,10.2,38.1,83,16.7,61.9,167,33.5,176,35.3,X,11,52782,29.2
1127,Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2003,473,138,29.2,48,10.1,34.8,4,0.8,2.9,44,9.3,31.9,90,19.0,65.2,143,30.2,170,35.9,X,11,52782,35.8
1128,Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2004,162,58,35.8,15,9.3,25.9,0,0.0,0.0,15,9.3,25.9,43,26.5,74.09999999999998,25,15.4,67,41.4,X,11,52782,
1129,Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2005,10,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1130,Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2006,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1131,Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2001,525,293,55.8,207,39.4,70.6,43,8.2,14.7,164,31.2,56.0,86,16.4,29.4,139,26.5,65,12.4,X,11,52782,55.7
1132,Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2002,535,298,55.7,216,40.4,72.5,16,3.0,5.4,200,37.4,67.1,82,15.3,27.5,145,27.1,64,12.0,X,11,52782,58.8
1133,Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2003,541,318,58.8,222,41.0,69.8,20,3.7,6.3,202,37.3,63.5,96,17.7,30.2,101,18.7,99,18.3,X,11,52782,52.7
1134,Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2004,670,353,52.7,281,41.9,79.59999999999998,1,0.1,0.3,280,41.8,79.3,72,10.7,20.4,182,27.2,104,15.5,X,11,52782,59.2
1135,Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2005,628,372,59.2,292,46.5,78.5,22,3.5,5.9,270,43.0,72.59999999999998,80,12.7,21.5,142,22.6,67,10.7,X,11,52782,64.1
1136,Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2006,565,362,64.1,311,55.0,85.9,21,3.7,5.8,290,51.3,80.09999999999998,51,9.0,14.1,83,14.7,75,13.3,X,11,52782,
1137,Total Cohort,11X513,NEW WORLD HIGH SCHOOL,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,77.9
1138,Total Cohort,11X513,NEW WORLD HIGH SCHOOL,2004,86,67,77.9,40,46.5,59.7,17,19.8,25.4,23,26.7,34.3,27,31.4,40.3,16,18.6,2,2.3,X,11,52782,70.7
1139,Total Cohort,11X513,NEW WORLD HIGH SCHOOL,2005,58,41,70.7,29,50.0,70.7,5,8.6,12.2,24,41.4,58.5,12,20.7,29.3,17,29.3,0,0.0,X,11,52782,79.0
1140,Total Cohort,11X513,NEW WORLD HIGH SCHOOL,2006,62,49,79.0,37,59.7,75.5,16,25.8,32.7,21,33.9,42.9,12,19.4,24.5,11,17.7,2,3.2,X,11,52782,
1141,Total Cohort,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,77.2
1142,Total Cohort,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2004,79,61,77.2,21,26.6,34.4,2,2.5,3.3,19,24.1,31.1,40,50.6,65.6,16,20.3,1,1.3,X,11,52782,49.3
1143,Total Cohort,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2005,71,35,49.3,7,9.9,20.0,0,0.0,0.0,7,9.9,20.0,28,39.4,80.0,22,31.0,12,16.9,X,11,52782,54.5
1144,Total Cohort,11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006,66,36,54.5,13,19.7,36.1,0,0.0,0.0,13,19.7,36.1,23,34.8,63.9,18,27.3,10,15.2,X,11,52782,
1145,Total Cohort,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1146,Total Cohort,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,71.6
1147,Total Cohort,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2003,88,63,71.6,20,22.7,31.7,0,0.0,0.0,20,22.7,31.7,43,48.9,68.3,16,18.2,6,6.8,X,11,52782,48.9
